ID,description,longitude,latitude,imgp,imgc,imgo,imgf,imgg,icon
WMH-25,北京市海淀区·北京大学,116.302035,39.990768,figure/taxa/WMH-25_L2_phylum.png,figure/taxa/WMH-25_L3_class.png,figure/taxa/WMH-25_L4_order.png,figure/taxa/WMH-25_L4_order.png,figure/taxa/WMH-25_L5_family.png,figure/taxa/WMH-25_L6_genus.png
WMH-3,北京市海淀区·北京大学,116.304784,39.994424,figure/taxa/WMH-3_L2_phylum.png,figure/taxa/WMH-3_L3_class.png,figure/taxa/WMH-3_L4_order.png,figure/taxa/WMH-3_L4_order.png,figure/taxa/WMH-3_L5_family.png,figure/taxa/WMH-3_L6_genus.png
WMH-4,北京市海淀区·北京大学,116.303947,39.994356,figure/taxa/WMH-4_L2_phylum.png,figure/taxa/WMH-4_L3_class.png,figure/taxa/WMH-4_L4_order.png,figure/taxa/WMH-4_L4_order.png,figure/taxa/WMH-4_L5_family.png,figure/taxa/WMH-4_L6_genus.png
WMH-5,北京市海淀区·北京大学,116.303072,39.9941,figure/taxa/WMH-5_L2_phylum.png,figure/taxa/WMH-5_L3_class.png,figure/taxa/WMH-5_L4_order.png,figure/taxa/WMH-5_L4_order.png,figure/taxa/WMH-5_L5_family.png,figure/taxa/WMH-5_L6_genus.png
WMH-6,北京市海淀区·北京大学,116.303116,39.993519,figure/taxa/WMH-6_L2_phylum.png,figure/taxa/WMH-6_L3_class.png,figure/taxa/WMH-6_L4_order.png,figure/taxa/WMH-6_L4_order.png,figure/taxa/WMH-6_L5_family.png,figure/taxa/WMH-6_L6_genus.png
WMH-7,北京市海淀区·北京大学,116.302894,39.993424,figure/taxa/WMH-7_L2_phylum.png,figure/taxa/WMH-7_L3_class.png,figure/taxa/WMH-7_L4_order.png,figure/taxa/WMH-7_L4_order.png,figure/taxa/WMH-7_L5_family.png,figure/taxa/WMH-7_L6_genus.png
WMH-8,北京市海淀区·北京大学,116.302786,39.993441,figure/taxa/WMH-8_L2_phylum.png,figure/taxa/WMH-8_L3_class.png,figure/taxa/WMH-8_L4_order.png,figure/taxa/WMH-8_L4_order.png,figure/taxa/WMH-8_L5_family.png,figure/taxa/WMH-8_L6_genus.png
WMH-9,北京市海淀区·北京大学,116.302735,39.993927,figure/taxa/WMH-9_L2_phylum.png,figure/taxa/WMH-9_L3_class.png,figure/taxa/WMH-9_L4_order.png,figure/taxa/WMH-9_L4_order.png,figure/taxa/WMH-9_L5_family.png,figure/taxa/WMH-9_L6_genus.png
WMHS-1,北京市海淀区·北京大学,116.304236,39.992934,figure/taxa/WMHS-1_L2_phylum.png,figure/taxa/WMHS-1_L3_class.png,figure/taxa/WMHS-1_L4_order.png,figure/taxa/WMHS-1_L4_order.png,figure/taxa/WMHS-1_L5_family.png,figure/taxa/WMHS-1_L6_genus.png
WMHS-2,北京市海淀区·北京大学,116.304096,39.994264,figure/taxa/WMHS-2_L2_phylum.png,figure/taxa/WMHS-2_L3_class.png,figure/taxa/WMHS-2_L4_order.png,figure/taxa/WMHS-2_L4_order.png,figure/taxa/WMHS-2_L5_family.png,figure/taxa/WMHS-2_L6_genus.png
WSQ20,遥感楼门牌,116.312674,39.993197,figure/taxa/WSQ20_L2_phylum.png,figure/taxa/WSQ20_L3_class.png,figure/taxa/WSQ20_L4_order.png,figure/taxa/WSQ20_L4_order.png,figure/taxa/WSQ20_L5_family.png,figure/taxa/WSQ20_L6_genus.png
WSQ21,吕志和楼瑞幸咖啡窗户,116.313178,39.992291,figure/taxa/WSQ21_L2_phylum.png,figure/taxa/WSQ21_L3_class.png,figure/taxa/WSQ21_L4_order.png,figure/taxa/WSQ21_L4_order.png,figure/taxa/WSQ21_L5_family.png,figure/taxa/WSQ21_L6_genus.png
WSQ22,地学楼教室讲台,116.311874,39.991727,figure/taxa/WSQ22_L2_phylum.png,figure/taxa/WSQ22_L3_class.png,figure/taxa/WSQ22_L4_order.png,figure/taxa/WSQ22_L4_order.png,figure/taxa/WSQ22_L5_family.png,figure/taxa/WSQ22_L6_genus.png
WSQ23,光华管理学院1号楼寄存柜按钮,116.312224,39.990713,figure/taxa/WSQ23_L2_phylum.png,figure/taxa/WSQ23_L3_class.png,figure/taxa/WSQ23_L4_order.png,figure/taxa/WSQ23_L4_order.png,figure/taxa/WSQ23_L5_family.png,figure/taxa/WSQ23_L6_genus.png
